file	seq	subject	event_id	correlation_id	tech	business_fn	is_claim_check	rule	confidence	notes
INGRESS-ACME-seq1242.json	1242	evt.acme.api-gateway.messaging.telegram.webhook.webhook_received.v1	07102a98-5185-40b7-85e8-3a60d23fd096	07102a98-5185-40b7-85e8-3a60d23fd096	telegram	ingress	false	2	ALTA	Stage-1 webhook receipt; chain root (correlation_id = own id, causation null). envelope.type still hardcoded (DRIFT#1).
INGRESS-ACME-seq1243.json	1243	evt.acme.channel-service.messaging.telegram.telegram.received.v1	208e49bf-9938-4809-b90e-6eb027cb3e87	07102a98-5185-40b7-85e8-3a60d23fd096	telegram	channel-processing	false	3	ALTA	Stage-2 canonical received; inherits root correlation, causation = stage-1 id, depth 1.
INGRESS-ACME-seq1244.json	1244	evt.acme.channel-service.messaging.telegram.telegram.send.v1	8f8448b2-f6de-40e9-9bee-6dd2025c7496	07102a98-5185-40b7-85e8-3a60d23fd096	telegram	channel-egress	false	4	ALTA	Outbound send; correlation inherited from chain root. Residual (deferred fix 3): causation points at the received event, skipping the agent execution.
INGRESS-ACME-seq1245.json	1245	evt.acme.ai-agent-gateway.automation.platform.internal.execution_requested.v1	e231584a-0d09-487e-a74b-d031edd582c8	07102a98-5185-40b7-85e8-3a60d23fd096	platform	agent-execution	false	6	ALTA	POST-FIX: correlation_id inherited from channel chain root (was static agent literal pre-fix); causation = received event id, depth 2.
INGRESS-ACME-seq1246.json	1246	evt.acme.ai-agent-gateway.automation.platform.internal.execution_started.v1	770380fc-4dd7-4dd3-83e3-6d4ddd177330	07102a98-5185-40b7-85e8-3a60d23fd096	platform	agent-execution	false	6	ALTA	POST-FIX: inherits chain correlation via deriveEnvelope; causation = execution_requested id, depth 3.
INGRESS-ACME-seq1247.json	1247	evt.acme.workflow-service.workflow.internal.native.execution_completed.v1	d23cd5e6-f512-4624-8a11-fc385f49fea9	07102a98-5185-40b7-85e8-3a60d23fd096	platform	workflow-execution	false	19	ALTA	producer 'workflow-service' + domain 'workflow' -> rule 19 platform/workflow-execution (relabeled 2026-07-10, Phase-0 open decision #1 resolved; was rule 17 unknown/unknown). POST-FIX (fix 2): correlation_id now inherited from chain root and causation = received event id, depth 2 (was self-correlated orphan pre-fix).
INGRESS-ACME-seq1248.json	1248	evt.acme.channel-service.messaging.telegram.telegram.sent.v1	fd0fe6c6-ffce-4ace-9c83-d11cc6801c0a	07102a98-5185-40b7-85e8-3a60d23fd096	telegram	channel-egress	false	4	ALTA	Outbound sent confirmation; causation = the send event id, correlation inherited.
INGRESS-ACME-seq1249.json	1249	evt.acme.ai-agent-gateway.automation.platform.internal.online.v1	eb45aabc-4b18-4068-a1b5-56bdb9421518	4c55e110-7a17-4fe1-afb0-b0def8a07f97	platform	runtime-presence	false	20	ALTA	Runtime-presence heartbeat (online.v1) published every ~15s per active tenant by agent-ai-service HeartbeatService (heartbeat.service.ts:91). Rule 20 -> platform/runtime-presence, disposition counted-not-persisted: no row inserted, OTel counter tracking_ingester_skipped_total keeps it visible. Non-canonical envelope (no data.payload_inline, transport={name,version}, UUID idempotencykey); subject producer token ai-agent-gateway but publisher is agent-ai-service (producer-token drift analogous to DRIFT.md item 9; heartbeat non-canonical traits in DRIFT.md item 5).
INGRESS-ACME-seq1250.json	1250	evt.acme.agent-memory-service.agent-memory.platform.internal.memory_proposed.v1	b5114e11-576a-4810-9273-a106b359c1c9	memory:0755b1c8-d8f3-468f-ac18-356e3ba10776	platform	agent-memory	false	9	ALTA	Classified by SUBJECT (rule 9 note). Root of the memory lifecycle (causation null by design). envelope.producer=agent-admin-service and domain=automation still contradict subject tokens (DRIFT#9, not part of the fixes). Session links to mcp-repo-support-bot execution 019f48b3-8571 (metadata.sessionId).
INGRESS-ACME-seq1251.json	1251	evt.acme.ai-agent-gateway.automation.platform.internal.execution_completed.v1	f4dee42f-a20f-4586-81c3-556d36f2f8e4	07102a98-5185-40b7-85e8-3a60d23fd096	platform	agent-execution	false	6	ALTA	POST-FIX: inherits chain correlation via deriveEnvelope; causation = execution_requested id, depth 3.
INGRESS-ACME-seq1252.json	1252	evt.acme.channel-service.messaging.telegram.telegram.send.v1	9952072a-db6b-4767-bd8a-b4296c670157	07102a98-5185-40b7-85e8-3a60d23fd096	telegram	channel-egress	false	4	ALTA	Outbound send; correlation inherited from chain root. Residual (deferred fix 3): causation points at the received event, skipping the agent execution.
INGRESS-ACME-seq1253.json	1253	evt.acme.workflow-service.workflow.internal.native.execution_completed.v1	213861ee-0da1-4c1d-854c-303bb9e574b5	07102a98-5185-40b7-85e8-3a60d23fd096	platform	workflow-execution	false	19	ALTA	producer 'workflow-service' + domain 'workflow' -> rule 19 platform/workflow-execution (relabeled 2026-07-10, Phase-0 open decision #1 resolved; was rule 17 unknown/unknown). POST-FIX (fix 2): correlation_id now inherited from chain root and causation = received event id, depth 2 (was self-correlated orphan pre-fix).
INGRESS-ACME-seq1254.json	1254	evt.acme.channel-service.messaging.telegram.telegram.sent.v1	878d9419-3418-4a1a-b30f-8c763705a484	07102a98-5185-40b7-85e8-3a60d23fd096	telegram	channel-egress	false	4	ALTA	Outbound sent confirmation; causation = the send event id, correlation inherited.
INGRESS-ACME-seq1255.json	1255	evt.acme.ai-agent-gateway.automation.platform.internal.online.v1	11db2efe-9514-44f9-9eda-c0e1e7fa400b	cc8977c8-57ab-4ca1-8ac7-c2cc035b26c3	platform	runtime-presence	false	20	ALTA	Runtime-presence heartbeat (online.v1) published every ~15s per active tenant by agent-ai-service HeartbeatService (heartbeat.service.ts:91). Rule 20 -> platform/runtime-presence, disposition counted-not-persisted: no row inserted, OTel counter tracking_ingester_skipped_total keeps it visible. Non-canonical envelope (no data.payload_inline, transport={name,version}, UUID idempotencykey); subject producer token ai-agent-gateway but publisher is agent-ai-service (producer-token drift analogous to DRIFT.md item 9; heartbeat non-canonical traits in DRIFT.md item 5).
INGRESS-ACME-seq1256.json	1256	evt.acme.ai-agent-gateway.automation.platform.internal.online.v1	883921bd-c22f-4378-b04f-1f54ad8aa832	e8a1f2ce-d50f-4f91-8617-1fe483e95b62	platform	runtime-presence	false	20	ALTA	Runtime-presence heartbeat (online.v1) published every ~15s per active tenant by agent-ai-service HeartbeatService (heartbeat.service.ts:91). Rule 20 -> platform/runtime-presence, disposition counted-not-persisted: no row inserted, OTel counter tracking_ingester_skipped_total keeps it visible. Non-canonical envelope (no data.payload_inline, transport={name,version}, UUID idempotencykey); subject producer token ai-agent-gateway but publisher is agent-ai-service (producer-token drift analogous to DRIFT.md item 9; heartbeat non-canonical traits in DRIFT.md item 5).
INGRESS-ACME-seq1257.json	1257	evt.acme.api-gateway.messaging.http.webhook.webhook_received.v1	583625a7-8eb0-4189-a68b-b597eaff69c4	583625a7-8eb0-4189-a68b-b597eaff69c4	http-generic	ingress	false	2	ALTA	Stage-1 webhook receipt (http mapped to http-generic per TAXONOMY Q5); chain root. envelope.type still hardcoded (DRIFT#1).
INGRESS-ACME-seq1258.json	1258	evt.acme.channel-service.messaging.http.http.received.v1	2f5c191f-7749-4fda-84aa-b816b2669624	583625a7-8eb0-4189-a68b-b597eaff69c4	http-generic	channel-processing	false	3	ALTA	Stage-2 canonical received; inherits root correlation, causation = stage-1 id, depth 1.
INGRESS-ACME-seq1259.json	1259	evt.acme.ai-agent-gateway.automation.platform.internal.execution_requested.v1	75279ab1-0fdd-4560-ba92-210ddcb4e97c	583625a7-8eb0-4189-a68b-b597eaff69c4	platform	agent-execution	false	6	ALTA	POST-FIX: correlation_id inherited from channel chain root (was static agent literal pre-fix); causation = received event id, depth 2.
INGRESS-ACME-seq1260.json	1260	evt.acme.ai-agent-gateway.automation.platform.internal.execution_started.v1	00fd8d72-ad03-4407-b5cc-7b5bb4bb9473	583625a7-8eb0-4189-a68b-b597eaff69c4	platform	agent-execution	false	6	ALTA	POST-FIX: inherits chain correlation via deriveEnvelope; causation = execution_requested id, depth 3.
INGRESS-ACME-seq1261.json	1261	evt.acme.workflow-service.workflow.internal.native.execution_completed.v1	b72afba7-8295-44cc-98c3-d937629c403a	583625a7-8eb0-4189-a68b-b597eaff69c4	platform	workflow-execution	false	19	ALTA	producer 'workflow-service' + domain 'workflow' -> rule 19 platform/workflow-execution (relabeled 2026-07-10, Phase-0 open decision #1 resolved; was rule 17 unknown/unknown). POST-FIX (fix 2): correlation_id now inherited from chain root and causation = received event id, depth 2 (was self-correlated orphan pre-fix).
INGRESS-ACME-seq1262.json	1262	evt.acme.agent-memory-service.agent-memory.platform.internal.memory_proposed.v1	ea3cde7a-2a2f-49a2-8e9d-646ae95b1e08	memory:20205190-d3e2-4ce8-a846-e6052971fe2f	platform	agent-memory	false	9	ALTA	Classified by SUBJECT (rule 9 note). Root of the memory lifecycle (causation null by design). envelope.producer=agent-admin-service and domain=automation still contradict subject tokens (DRIFT#9, not part of the fixes). Session links to ai-agent-triage refund execution 019f48b4-28a7.
INGRESS-ACME-seq1263.json	1263	evt.acme.ai-agent-gateway.automation.platform.internal.execution_completed.v1	35ec17bd-b240-4354-b043-86e50684068c	583625a7-8eb0-4189-a68b-b597eaff69c4	platform	agent-execution	false	6	ALTA	POST-FIX: inherits chain correlation via deriveEnvelope; causation = execution_requested id, depth 3.
INGRESS-ACME-seq1264.json	1264	evt.acme.channel-service.messaging.telegram.telegram.send.v1	2d76b484-ab78-4f67-89ae-febff6356710	583625a7-8eb0-4189-a68b-b597eaff69c4	telegram	channel-egress	false	4	ALTA	Outbound send; correlation inherited from chain root. Residual (deferred fix 3): causation points at the received event, skipping the agent execution.
INGRESS-ACME-seq1265.json	1265	evt.acme.workflow-service.workflow.internal.native.execution_completed.v1	98e29020-40fb-42d2-a384-176db76319fd	583625a7-8eb0-4189-a68b-b597eaff69c4	platform	workflow-execution	false	19	ALTA	producer 'workflow-service' + domain 'workflow' -> rule 19 platform/workflow-execution (relabeled 2026-07-10, Phase-0 open decision #1 resolved; was rule 17 unknown/unknown). POST-FIX (fix 2): correlation_id now inherited from chain root and causation = received event id, depth 2 (was self-correlated orphan pre-fix).
INGRESS-ACME-seq1266.json	1266	evt.acme.channel-service.messaging.telegram.telegram.sent.v1	f4a1bf1c-c89f-44f6-97f7-d0ee510d283a	583625a7-8eb0-4189-a68b-b597eaff69c4	telegram	channel-egress	false	4	ALTA	Outbound sent confirmation; causation = the send event id, correlation inherited.
INGRESS-ACME-seq1267.json	1267	evt.acme.ai-agent-gateway.automation.platform.internal.online.v1	11f69e76-5ce5-4d49-89ea-ff9079faf720	b10c837c-aea5-4ad5-b327-1c428b5b0092	platform	runtime-presence	false	20	ALTA	Runtime-presence heartbeat (online.v1) published every ~15s per active tenant by agent-ai-service HeartbeatService (heartbeat.service.ts:91). Rule 20 -> platform/runtime-presence, disposition counted-not-persisted: no row inserted, OTel counter tracking_ingester_skipped_total keeps it visible. Non-canonical envelope (no data.payload_inline, transport={name,version}, UUID idempotencykey); subject producer token ai-agent-gateway but publisher is agent-ai-service (producer-token drift analogous to DRIFT.md item 9; heartbeat non-canonical traits in DRIFT.md item 5).
INGRESS-ACME-seq1268.json	1268	evt.acme.api-gateway.messaging.http.webhook.webhook_received.v1	049662ce-1986-4894-b8bd-71565252dde3	049662ce-1986-4894-b8bd-71565252dde3	http-generic	ingress	false	2	ALTA	Stage-1 webhook receipt (http mapped to http-generic per TAXONOMY Q5); chain root. envelope.type still hardcoded (DRIFT#1).
INGRESS-ACME-seq1269.json	1269	evt.acme.channel-service.messaging.http.http.received.v1	c29961e5-d7f5-45ab-b323-99fc6b405bd7	049662ce-1986-4894-b8bd-71565252dde3	http-generic	channel-processing	false	3	ALTA	Stage-2 canonical received; inherits root correlation, causation = stage-1 id, depth 1.
INGRESS-ACME-seq1270.json	1270	evt.acme.ai-agent-gateway.automation.platform.internal.execution_requested.v1	30a4f92d-3612-4e84-93c5-834f1a1bf151	049662ce-1986-4894-b8bd-71565252dde3	platform	agent-execution	false	6	ALTA	POST-FIX: correlation_id inherited from channel chain root (was static agent literal pre-fix); causation = received event id, depth 2.
